sample_id,modality,source_duration_s,effective_duration_s,feature_dim,native_length,aligned_length,aligned_valid_length,padding_count,native_granularity,aligned_granularity,padding_rule,status
-3g5yACwYnA__13,audio,5.399125,5.399125,27,108,84,18,64,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-3nNcZdcdvU__5,vision,7.866666666666666,7.766666666666667,15,118,84,22,60,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-571d8cVauQ__0,audio,4.9923125,4.9923125,27,100,84,16,66,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-571d8cVauQ__0,text,4.9923125,2.58,768,18,84,18,66,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-571d8cVauQ__0,vision,5.166666666666667,5.0,15,77,84,16,66,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-571d8cVauQ__5,audio,15.11525,15.11525,27,303,84,52,30,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-571d8cVauQ__5,text,15.11525,7.579999999999997,768,54,84,54,30,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-571d8cVauQ__5,vision,15.266666666666666,15.266666666666666,15,229,84,52,30,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-6rXp3zJ3kc__8,audio,12.738,12.738,27,255,84,38,44,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-6rXp3zJ3kc__8,text,12.738,6.24,768,40,84,40,44,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-6rXp3zJ3kc__8,vision,12.8,12.8,15,192,84,38,44,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__0,audio,6.757,6.757,27,136,84,28,54,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__0,text,6.757,3.7000000000000006,768,30,84,30,54,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__0,vision,6.8999999999999995,6.8999999999999995,15,104,84,28,54,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__4,audio,2.6648125,2.6648125,27,54,84,11,71,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__4,text,2.6648125,1.3199999999999998,768,13,84,13,71,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__4,vision,2.8,2.8,15,42,84,11,71,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__8,audio,4.917,4.917,27,99,84,14,68,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__8,text,4.917,2.24,768,16,84,16,68,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-9y-fZ3swSY__8,vision,4.966666666666667,4.966666666666667,15,75,84,14,68,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-AUZQgSxyPQ__2,audio,22.4045625,22.4045625,27,449,84,56,26,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-AUZQgSxyPQ__2,text,22.4045625,12.459999999999994,768,58,84,58,26,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-AUZQgSxyPQ__2,vision,22.5,22.5,15,338,84,56,26,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HeZS2-Prhc__2,audio,8.150875,8.150875,27,164,84,17,65,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HeZS2-Prhc__2,text,8.150875,3.7199999999999998,768,19,84,19,65,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HeZS2-Prhc__2,vision,8.233333333333333,8.233333333333333,15,124,84,17,65,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__2,audio,3.9158125,3.9158125,27,79,84,11,70,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__2,text,3.9158125,1.1799999999999995,768,14,84,14,70,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__2,vision,3.9666666666666663,1.2666666666666662,15,60,84,4,70,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__5,audio,5.5440625,5.5440625,27,111,84,9,72,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__5,text,5.5440625,3.399999999999999,768,12,84,12,72,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__5,vision,5.633333333333333,5.633333333333333,15,85,84,9,72,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__6,audio,3.256,3.256,27,66,84,9,73,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__6,text,3.256,1.2999999999999998,768,11,84,11,73,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__6,vision,3.333333333333333,3.033333333333334,15,50,84,9,73,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__9,audio,7.6363125,7.6363125,27,153,84,24,58,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__9,text,7.6363125,5.079999999999998,768,26,84,26,58,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-HwX2H8Z4hY__9,vision,7.733333333333333,0.13333333333333314,15,116,84,1,58,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-I_e4mIh0yE__1,audio,7.4443125,7.4443125,27,149,84,21,61,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-I_e4mIh0yE__1,text,7.4443125,3.539999999999998,768,23,84,23,61,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-I_e4mIh0yE__1,vision,7.6,7.6,15,114,84,21,61,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-I_e4mIh0yE__3,audio,8.994375,8.994375,27,180,84,30,52,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-I_e4mIh0yE__3,text,8.994375,4.439999999999998,768,32,84,32,52,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-I_e4mIh0yE__3,vision,9.133333333333333,9.133333333333333,15,137,84,30,52,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__0,audio,9.2183125,9.2183125,27,185,84,26,56,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__0,text,9.2183125,4.9399999999999995,768,28,84,28,56,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__0,vision,9.333333333333334,9.3,15,140,84,26,56,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__13,audio,5.2555,5.2555,27,106,84,16,66,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__13,text,5.2555,2.5200000000000005,768,18,84,18,66,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__13,vision,5.3999999999999995,5.3999999999999995,15,81,84,16,66,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__7,audio,10.4113125,10.4113125,27,209,84,33,49,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__7,text,10.4113125,5.799999999999997,768,35,84,35,49,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-MeTTeMJBNc__7,vision,10.5,10.5,15,158,84,33,49,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-NFrJFQijFE__1,audio,5.658875,5.658875,27,114,84,16,66,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-NFrJFQijFE__1,text,5.658875,2.6599999999999993,768,18,84,18,66,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-NFrJFQijFE__1,vision,5.72,0.0,15,86,84,0,66,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-NFrJFQijFE__2,audio,6.6983125,6.6983125,27,134,84,18,64,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-NFrJFQijFE__2,text,6.6983125,4.3,768,20,84,20,64,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-NFrJFQijFE__2,vision,6.84,0.0,15,102,84,0,64,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__11,audio,5.074875,5.074875,27,102,84,19,63,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__11,text,5.074875,2.480000000000001,768,21,84,21,63,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__11,vision,5.233333333333333,5.233333333333333,15,78,84,19,63,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__2,audio,5.3918125,5.3918125,27,108,84,29,53,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__2,text,5.3918125,3.1200000000000006,768,31,84,31,53,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__2,vision,5.5,5.5,15,83,84,29,53,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__8,audio,4.532375,4.532375,27,91,84,21,61,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__8,text,4.532375,2.3200000000000003,768,23,84,23,61,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-RfYyzHpjk4__8,vision,4.566666666666666,4.566666666666666,15,69,84,21,61,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__12,audio,14.8055625,14.8055625,27,297,84,42,40,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__12,text,14.8055625,8.820000000000006,768,44,84,44,40,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__12,vision,14.866666666666667,14.866666666666667,15,223,84,42,40,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__2,audio,4.230875,4.230875,27,85,84,11,71,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__2,text,4.230875,2.200000000000001,768,13,84,13,71,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__2,vision,4.266666666666667,4.266666666666667,15,64,84,11,71,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__6,audio,7.982875,7.982875,27,160,84,32,50,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__6,text,7.982875,4.360000000000002,768,34,84,34,50,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-THoVjtIkeU__6,vision,8.066666666666666,8.0,15,121,84,32,50,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UUCSKoHeMA__0,audio,7.73225,7.73225,27,155,84,23,59,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UUCSKoHeMA__0,text,7.73225,3.760000000000001,768,25,84,25,59,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UUCSKoHeMA__0,vision,7.866666666666666,7.833333333333333,15,118,84,23,59,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UacrmKiTn4__10,audio,7.2420625,7.2420625,27,145,84,22,60,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UacrmKiTn4__10,text,7.2420625,3.580000000000001,768,24,84,24,60,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UacrmKiTn4__10,vision,7.333333333333333,7.333333333333333,15,110,84,22,60,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UacrmKiTn4__4,audio,4.6819375,4.6819375,27,94,84,15,67,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UacrmKiTn4__4,text,4.6819375,2.6599999999999997,768,17,84,17,67,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UacrmKiTn4__4,vision,4.733333333333333,4.733333333333333,15,71,84,15,67,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__0,audio,3.575875,3.575875,27,72,84,12,70,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__0,text,3.575875,2.3,768,14,84,14,70,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__0,vision,3.6999999999999997,3.6999999999999997,15,56,84,12,70,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__1,audio,10.2675,10.2675,27,206,84,33,49,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__1,text,10.2675,4.919999999999998,768,35,84,35,49,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__1,vision,10.333333333333334,10.333333333333334,15,155,84,33,49,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__3,audio,4.038375,4.038375,27,81,84,9,73,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__3,text,4.038375,1.7200000000000002,768,11,84,11,73,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__3,vision,4.1,4.1,15,62,84,9,73,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__6,audio,7.9438125,7.9438125,27,159,84,23,59,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__6,text,7.9438125,4.239999999999998,768,25,84,25,59,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-UuX1xuaiiE__6,vision,8.1,8.1,15,121,84,23,59,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-a55Q6RWvTA__3,audio,22.0833125,22.0833125,27,442,84,82,0,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-a55Q6RWvTA__3,text,22.0833125,12.320000000000002,768,84,84,84,0,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-a55Q6RWvTA__3,vision,22.133333333333336,22.133333333333336,15,332,84,82,0,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-aNfi7CP8vM__7,audio,8.5376875,8.5376875,27,171,84,23,59,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-aNfi7CP8vM__7,text,8.5376875,4.999999999999999,768,25,84,25,59,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-aNfi7CP8vM__7,vision,8.666666666666666,8.666666666666666,15,130,84,23,59,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-aqamKhZ1Ec__0,audio,10.8901875,10.8901875,27,218,84,14,66,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-aqamKhZ1Ec__0,text,10.8901875,7.639999999999998,768,18,84,18,66,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-aqamKhZ1Ec__0,vision,11.0,11.0,15,165,84,14,66,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__0,audio,20.410375,20.410375,27,409,84,51,22,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__0,text,20.410375,11.240000000000007,768,62,84,62,22,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__0,vision,20.533333333333335,16.033333333333335,15,308,84,42,22,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__1,audio,16.018125,16.018125,27,321,84,41,40,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__1,text,16.018125,9.280000000000003,768,44,84,44,40,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__1,vision,16.133333333333336,16.133333333333336,15,242,84,41,40,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__2,audio,16.6331875,16.6331875,27,333,84,36,42,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__2,text,16.6331875,9.52,768,42,84,42,42,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__2,vision,16.666666666666668,16.666666666666668,15,250,84,36,42,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__6,audio,12.6284375,12.6284375,27,253,84,32,50,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__6,text,12.6284375,8.16,768,34,84,34,50,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-dxfTGcXJoc__6,vision,12.733333333333333,12.733333333333333,15,191,84,32,50,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__1,audio,10.15625,10.15625,27,204,84,20,60,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__1,text,10.15625,5.04,768,24,84,24,60,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__1,vision,10.233333333333333,10.233333333333333,15,154,84,20,60,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__13,audio,4.023875,4.023875,27,81,84,16,66,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__13,text,4.023875,2.02,768,18,84,18,66,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__13,vision,4.166666666666667,4.166666666666667,15,63,84,16,66,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__16,audio,5.483,5.483,27,110,84,13,69,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__16,text,5.483,3.36,768,15,84,15,69,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__16,vision,5.533333333333333,5.466666666666667,15,83,84,13,69,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__17,audio,7.09525,7.09525,27,142,84,19,63,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__17,text,7.09525,3.3000000000000025,768,21,84,21,63,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__17,vision,7.266666666666667,7.266666666666667,15,109,84,19,63,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__18,audio,8.2656875,8.2656875,27,166,84,27,55,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__18,text,8.2656875,4.459999999999999,768,29,84,29,55,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__18,vision,8.366666666666667,8.366666666666667,15,126,84,27,55,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__20,audio,6.4744375,6.4744375,27,130,84,24,58,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__20,text,6.4744375,3.4000000000000017,768,26,84,26,58,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__20,vision,6.633333333333333,6.633333333333333,15,99,84,24,58,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__26,audio,5.9205625,5.9205625,27,119,84,19,63,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__26,text,5.9205625,3.08,768,21,84,21,63,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__26,vision,6.0,6.0,15,90,84,19,63,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__6,audio,6.183125,6.183125,27,124,84,13,69,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__6,text,6.183125,3.499999999999999,768,15,84,15,69,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__6,vision,6.233333333333333,6.033333333333332,15,94,84,13,69,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__9,audio,4.936125,4.936125,27,99,84,12,70,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__9,text,4.936125,2.7800000000000002,768,14,84,14,70,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-egA8-b7-3M__9,vision,5.066666666666666,5.066666666666666,15,76,84,12,70,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-hnBHBN8p5A__6,audio,6.3328125,6.3328125,27,127,84,14,68,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-hnBHBN8p5A__6,text,6.3328125,2.640000000000001,768,16,84,16,68,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-hnBHBN8p5A__6,vision,6.381366666666667,3.2949555555555556,15,96,84,8,68,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-hnBHBN8p5A__7,audio,7.3085625,7.3085625,27,147,84,17,65,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-hnBHBN8p5A__7,text,7.3085625,3.5199999999999982,768,19,84,19,65,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-hnBHBN8p5A__7,vision,7.340655555555555,6.2562444444444445,15,110,84,16,65,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-iRBcNs9oI8__3,audio,5.53825,5.53825,27,111,84,9,73,20 Hz,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-iRBcNs9oI8__3,text,5.53825,1.6800000000000002,768,11,84,11,73,source transcript tokens,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
-iRBcNs9oI8__3,vision,5.6056,5.605600000000001,15,84,84,9,73,15 Hz nearest original PTS,WordPiece with CTC word interval,zero; padding_mask=true,extracted_unreviewed
