sample_id,word_index,word,reference_start_s,reference_end_s,review_status,confidence,reviewer,review_date,playback_rate,reviewer_note
-hnBHBN8p5A__6,5,and,,,pending,,,,,
-hnBHBN8p5A__6,6,opinions,,,pending,,,,,
-hnBHBN8p5A__6,7,more,,,pending,,,,,
-hnBHBN8p5A__6,8,effectively,,,pending,,,,,
-hnBHBN8p5A__6,9,than,,,pending,,,,,
-hnBHBN8p5A__6,10,a,,,pending,,,,,
-hnBHBN8p5A__6,11,native,,,pending,,,,,
-hnBHBN8p5A__6,12,speaker,,,pending,,,,,
-s9qJ7ATP7w__7,0,I,,,pending,,,,,
-s9qJ7ATP7w__7,1,used,,,pending,,,,,
-s9qJ7ATP7w__7,2,to,,,pending,,,,,
-s9qJ7ATP7w__7,3,work,,,pending,,,,,
-s9qJ7ATP7w__7,4,for,,,pending,,,,,
-s9qJ7ATP7w__7,5,Warren,,,pending,,,,,
-s9qJ7ATP7w__7,6,"Avis,",,,pending,,,,,
-s9qJ7ATP7w__7,7,the,,,pending,,,,,
-s9qJ7ATP7w__7,8,guy,,,pending,,,,,
-s9qJ7ATP7w__7,9,who,,,pending,,,,,
-s9qJ7ATP7w__7,10,started,,,pending,,,,,
-s9qJ7ATP7w__7,11,Avis,,,pending,,,,,
-s9qJ7ATP7w__7,12,Rent,,,pending,,,,,
-s9qJ7ATP7w__7,13,a,,,pending,,,,,
-s9qJ7ATP7w__7,14,"Car,",,,pending,,,,,
-s9qJ7ATP7w__7,15,and,,,pending,,,,,
-s9qJ7ATP7w__7,16,he,,,pending,,,,,
-s9qJ7ATP7w__7,17,said,,,pending,,,,,
-s9qJ7ATP7w__7,18,to,,,pending,,,,,
-s9qJ7ATP7w__7,19,me,,,pending,,,,,
-s9qJ7ATP7w__7,20,one,,,pending,,,,,
-s9qJ7ATP7w__7,21,"day,",,,pending,,,,,
-s9qJ7ATP7w__7,22,"""Robert,",,,pending,,,,,
-s9qJ7ATP7w__7,23,"""what's",,,pending,,,,,
-s9qJ7ATP7w__7,24,the,,,pending,,,,,
-s9qJ7ATP7w__7,25,purpose,,,pending,,,,,
-s9qJ7ATP7w__7,26,of,,,pending,,,,,
-s9qJ7ATP7w__7,27,business,,,pending,,,,,
-wny0OAz3g8__7,0,Omi,,,pending,,,,,
-wny0OAz3g8__7,1,and,,,pending,,,,,
-wny0OAz3g8__7,2,Winant,,,pending,,,,,
-wny0OAz3g8__7,3,argue,,,pending,,,,,
-wny0OAz3g8__7,4,that,,,pending,,,,,
-wny0OAz3g8__7,5,the,,,pending,,,,,
-wny0OAz3g8__7,6,concept,,,pending,,,,,
-wny0OAz3g8__7,7,of,,,pending,,,,,
-wny0OAz3g8__7,8,race,,,pending,,,,,
-wny0OAz3g8__7,9,came,,,pending,,,,,
-wny0OAz3g8__7,10,about,,,pending,,,,,
-wny0OAz3g8__7,11,as,,,pending,,,,,
-wny0OAz3g8__7,12,a,,,pending,,,,,
-wny0OAz3g8__7,13,tool,,,pending,,,,,
-wny0OAz3g8__7,14,to,,,pending,,,,,
-wny0OAz3g8__7,15,justify,,,pending,,,,,
-wny0OAz3g8__7,16,and,,,pending,,,,,
-wny0OAz3g8__7,17,maintain,,,pending,,,,,
-wny0OAz3g8__7,18,the,,,pending,,,,,
-wny0OAz3g8__7,19,economic,,,pending,,,,,
-wny0OAz3g8__7,20,and,,,pending,,,,,
-wny0OAz3g8__7,21,political,,,pending,,,,,
-wny0OAz3g8__7,22,power,,,pending,,,,,
-wny0OAz3g8__7,23,held,,,pending,,,,,
-wny0OAz3g8__7,24,by,,,pending,,,,,
-wny0OAz3g8__7,25,those,,,pending,,,,,
-wny0OAz3g8__7,26,of,,,pending,,,,,
-wny0OAz3g8__7,27,European,,,pending,,,,,
-wny0OAz3g8__7,28,descent,,,pending,,,,,
-I_e4mIh0yE__3,0,It's,,,pending,,,,,
-I_e4mIh0yE__3,1,perceived,,,pending,,,,,
-I_e4mIh0yE__3,2,that,,,pending,,,,,
-I_e4mIh0yE__3,3,you,,,pending,,,,,
-I_e4mIh0yE__3,4,have,,,pending,,,,,
-I_e4mIh0yE__3,5,actually,,,pending,,,,,
-I_e4mIh0yE__3,6,learned,,,pending,,,,,
-I_e4mIh0yE__3,7,"something,",,,pending,,,,,
-I_e4mIh0yE__3,8,over,,,pending,,,,,
-I_e4mIh0yE__3,9,the,,,pending,,,,,
-I_e4mIh0yE__3,10,course,,,pending,,,,,
-I_e4mIh0yE__3,11,of,,,pending,,,,,
-I_e4mIh0yE__3,12,your,,,pending,,,,,
-I_e4mIh0yE__3,13,"carreer,",,,pending,,,,,
-I_e4mIh0yE__3,14,and,,,pending,,,,,
-I_e4mIh0yE__3,15,that,,,pending,,,,,
-I_e4mIh0yE__3,16,you,,,pending,,,,,
-I_e4mIh0yE__3,17,won't,,,pending,,,,,
-I_e4mIh0yE__3,18,make,,,pending,,,,,
-I_e4mIh0yE__3,19,the,,,pending,,,,,
-I_e4mIh0yE__3,20,mistake,,,pending,,,,,
-I_e4mIh0yE__3,21,twice.,,,pending,,,,,
-yRb-Jum7EQ__5,0,Yesterday,,,pending,,,,,
-yRb-Jum7EQ__5,1,Eliav,,,pending,,,,,
-yRb-Jum7EQ__5,2,Gelman,,,pending,,,,,
-yRb-Jum7EQ__5,3,lost,,,pending,,,,,
-yRb-Jum7EQ__5,4,his,,,pending,,,,,
-yRb-Jum7EQ__5,5,life,,,pending,,,,,
-yRb-Jum7EQ__5,6,in,,,pending,,,,,
-yRb-Jum7EQ__5,7,another,,,pending,,,,,
-yRb-Jum7EQ__5,8,terrorist,,,pending,,,,,
-yRb-Jum7EQ__5,9,"attack,",,,pending,,,,,
-yRb-Jum7EQ__5,10,not,,,pending,,,,,
-yRb-Jum7EQ__5,11,by,,,pending,,,,,
-yRb-Jum7EQ__5,12,the,,,pending,,,,,
-yRb-Jum7EQ__5,13,students,,,pending,,,,,
-yRb-Jum7EQ__5,14,of,,,pending,,,,,
-yRb-Jum7EQ__5,15,"terrorism,",,,pending,,,,,
-yRb-Jum7EQ__5,16,but,,,pending,,,,,
-yRb-Jum7EQ__5,17,by,,,pending,,,,,
-yRb-Jum7EQ__5,18,those,,,pending,,,,,
-yRb-Jum7EQ__5,19,who,,,pending,,,,,
-yRb-Jum7EQ__5,20,teach,,,pending,,,,,
-yRb-Jum7EQ__5,21,"terrorism,",,,pending,,,,,
-yRb-Jum7EQ__5,22,a,,,pending,,,,,
-yRb-Jum7EQ__5,23,Palestinian,,,pending,,,,,
-yRb-Jum7EQ__5,24,teacher.,,,pending,,,,,
-yRb-Jum7EQ__1,0,it,,,pending,,,,,
-yRb-Jum7EQ__1,1,comes,,,pending,,,,,
-yRb-Jum7EQ__1,2,with,,,pending,,,,,
-yRb-Jum7EQ__1,3,the,,,pending,,,,,
-yRb-Jum7EQ__1,4,assistance,,,pending,,,,,
-yRb-Jum7EQ__1,5,and,,,pending,,,,,
-yRb-Jum7EQ__1,6,agitation,,,pending,,,,,
-yRb-Jum7EQ__1,7,of,,,pending,,,,,
-yRb-Jum7EQ__1,8,states,,,pending,,,,,
-yRb-Jum7EQ__1,9,and,,,pending,,,,,
-yRb-Jum7EQ__1,10,"regimes,",,,pending,,,,,
-yRb-Jum7EQ__1,11,Yesterday,,,pending,,,,,
-yRb-Jum7EQ__1,12,Iran,,,pending,,,,,
-yRb-Jum7EQ__1,13,announced,,,pending,,,,,
-yRb-Jum7EQ__1,14,that,,,pending,,,,,
-yRb-Jum7EQ__1,15,it,,,pending,,,,,
-yRb-Jum7EQ__1,16,will,,,pending,,,,,
-yRb-Jum7EQ__1,17,finance,,,pending,,,,,
-yRb-Jum7EQ__1,18,the,,,pending,,,,,
-yRb-Jum7EQ__1,19,families,,,pending,,,,,
-yRb-Jum7EQ__1,20,of,,,pending,,,,,
-yRb-Jum7EQ__1,21,the,,,pending,,,,,
-yRb-Jum7EQ__1,22,terrorists,,,pending,,,,,
-yRb-Jum7EQ__1,23,and,,,pending,,,,,
-yRb-Jum7EQ__1,24,murderers,,,pending,,,,,
-yRb-Jum7EQ__1,25,this,,,pending,,,,,
-yRb-Jum7EQ__1,26,shows,,,pending,,,,,
-yRb-Jum7EQ__1,27,that,,,pending,,,,,
-yRb-Jum7EQ__1,28,"Iran,",,,pending,,,,,
-yRb-Jum7EQ__1,29,even,,,pending,,,,,
-yRb-Jum7EQ__1,30,after,,,pending,,,,,
-yRb-Jum7EQ__1,31,the,,,pending,,,,,
-yRb-Jum7EQ__1,32,nuclear,,,pending,,,,,
-yRb-Jum7EQ__1,33,"agreement,",,,pending,,,,,
-yRb-Jum7EQ__1,34,is,,,pending,,,,,
-yRb-Jum7EQ__1,35,continuing,,,pending,,,,,
-yRb-Jum7EQ__1,36,to,,,pending,,,,,
-yRb-Jum7EQ__1,37,aid,,,pending,,,,,
-yRb-Jum7EQ__1,38,"terrorism,",,,pending,,,,,
-yRb-Jum7EQ__1,39,including,,,pending,,,,,
-yRb-Jum7EQ__1,40,Palestinian,,,pending,,,,,
-yRb-Jum7EQ__1,41,"terrorism,",,,pending,,,,,
-yRb-Jum7EQ__1,42,Hezbollah,,,pending,,,,,
-yRb-Jum7EQ__1,43,terrorism,,,pending,,,,,
-yRb-Jum7EQ__1,44,and,,,pending,,,,,
-yRb-Jum7EQ__1,45,its,,,pending,,,,,
-yRb-Jum7EQ__1,46,assistance,,,pending,,,,,
-yRb-Jum7EQ__1,47,to,,,pending,,,,,
-yRb-Jum7EQ__1,48,Hamas.,,,pending,,,,,
