sample_id,decoded_scalar_samples,nonzero_samples,peak,rms,all_zero,codec,source_sha256
-THoVjtIkeU__2,373162,373162,0.33355411887168884,0.058249608862362454,False,aac,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b
-THoVjtIkeU__6,704090,692954,0.4212349057197571,0.06499297969989135,False,aac,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64
-UUCSKoHeMA__0,681984,675840,0.23806357383728027,0.02170718563399423,False,aac,3f9792888ec8e969f61cfb6cb4de7bdf7ef8944afe0a9d2a9d13586e1f13b898
-UacrmKiTn4__10,638748,638748,0.17374321818351746,0.025434849610352618,False,aac,00312e0602dbeac970de5d7dd0e8a970e514fe45d7fe6625b4f454b299e36360
-UacrmKiTn4__4,412946,412946,0.2637796401977539,0.025644626170594785,False,aac,a7f2ab0d6ee2e2a2d5cd4239f03e6cac67c618ddb744891323df3ff87e29af84
-UuX1xuaiiE__0,315392,315392,0.3377992510795593,0.04557127081039001,False,aac,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8
-UuX1xuaiiE__1,905592,905592,0.6513452529907227,0.05373326183782778,False,aac,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c
-UuX1xuaiiE__3,356184,356184,0.3835594654083252,0.05844546902838145,False,aac,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa
-UuX1xuaiiE__6,700646,700646,0.44029220938682556,0.04975329000166505,False,aac,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532
-a55Q6RWvTA__3,1947746,1947746,0.5593380331993103,0.08630965575059682,False,aac,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946
-aNfi7CP8vM__7,753024,753024,0.3897349536418915,0.034902739002243895,False,aac,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1
-aqamKhZ1Ec__0,960512,960384,0.20153456926345825,0.013368481874817048,False,aac,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548
-dxfTGcXJoc__0,1800192,1789952,0.4441533386707306,0.05026119893228841,False,aac,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55
-dxfTGcXJoc__1,1412798,1412798,0.655387818813324,0.06707092875370435,False,aac,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595
-dxfTGcXJoc__2,1467046,1467046,0.6686204075813293,0.07045837442494834,False,aac,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7
-dxfTGcXJoc__6,1113826,1113826,0.6673664450645447,0.06144751380745563,False,aac,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513
-egA8-b7-3M__1,895778,895778,0.18844901025295258,0.03435054055844656,False,aac,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b
-egA8-b7-3M__13,354904,354904,0.17873020470142365,0.030314055940891652,False,aac,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c
-egA8-b7-3M__16,483600,483600,0.19223302602767944,0.03418768427604375,False,aac,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c
-egA8-b7-3M__17,625798,625798,0.17813371121883392,0.03153615141432587,False,aac,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f
-egA8-b7-3M__18,729034,729034,0.1834048479795456,0.032909744204689464,False,aac,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90
-egA8-b7-3M__20,571042,571042,0.18658320605754852,0.027800916965536996,False,aac,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8
-egA8-b7-3M__26,522192,522192,0.17529624700546265,0.031244328298146225,False,aac,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685
-egA8-b7-3M__6,545348,545348,0.1876041442155838,0.030876161133297025,False,aac,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0
-egA8-b7-3M__9,435364,435364,0.18251603841781616,0.035293549819677826,False,aac,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c
-hnBHBN8p5A__6,558552,558552,0.6981779336929321,0.06375531737331648,False,aac,997f6808ac3973ddd71800e91c8e10755c10b5037186d84348a79e00d672fdc7
-hnBHBN8p5A__7,644616,644616,0.5714689493179321,0.05550702568255488,False,aac,0ec6fb76226315d3fafbb483e3500e60cc8a6729617b10e4b4b76163595080fb
-iRBcNs9oI8__3,488472,480280,0.753570020198822,0.06916786673795872,False,aac,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50
-iRBcNs9oI8__6,248760,248760,0.5493892431259155,0.06886802255681351,False,aac,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3
-iRBcNs9oI8__7,353304,353304,0.6565969586372375,0.07404937799972264,False,aac,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081
-iRBcNs9oI8__8,707896,707896,0.7958295345306396,0.0738673360371241,False,aac,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412
-iRBcNs9oI8__9,297592,297592,0.9347870349884033,0.1194253580319077,False,aac,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74
-lzEya4AM_4__5,667648,667648,0.5919099450111389,0.04991263660925087,False,aac,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043
-lzEya4AM_4__6,1300098,1300098,0.5499064326286316,0.04325450130438576,False,aac,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18
-mJ2ud6oKI8__1,534008,0,0.0,0.0,True,aac,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b
-mJ2ud6oKI8__2,502888,0,0.0,0.0,True,aac,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28
-mJ2ud6oKI8__6,196520,196520,0.3425445258617401,0.057646180728754624,False,aac,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d
-mJ2ud6oKI8__8,367912,367912,0.41766321659088135,0.05848915278303471,False,aac,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc
-mJ2ud6oKI8__9,609352,609352,0.378240704536438,0.04856135660952715,False,aac,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47
-mqbVkbCndg__0,563200,563200,0.9149089455604553,0.14693473492404743,False,aac,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda
-qDkUB0GgYY__6,203506,203506,0.2706882953643799,0.03179652928494704,False,aac,ab19bf4a761d3919b7113b1104ccaadbbf0c4e7b45694904d094280a2c329c8b
-ri04Z7vwnc__0,243720,243720,0.7839688062667847,0.1865536655075722,False,aac,93021c70c8fad20ad3fded80e7fc790a2f9c96835de58a3b694c6906de42684b
-ri04Z7vwnc__2,521560,521560,0.9873888492584229,0.1799101671545157,False,aac,f5993ce3a6ee56298462c08692a96f78c7d914d7264257ed401de7d6e17fd148
-ri04Z7vwnc__5,303384,303384,0.2542082965373993,0.042043729834547586,False,aac,2a5e4319bf592a18c8eb5117f7c7ec30c6c79528f9eac9fe4fb85bf70f277736
-s9qJ7ATP7w__0,591872,591616,0.9474310278892517,0.0906910938127692,False,aac,f2324dbc6debe0d1e4254e6f943523373e3cbb30d8d0555413ce3a7b370a4af5
-s9qJ7ATP7w__1,409586,409586,0.9459853768348694,0.0845560585719496,False,aac,a33e8f82a185bcb7648b523927308cdc2142e3076479ba2b45cd0e828636fc09
-s9qJ7ATP7w__4,374576,374576,0.953799307346344,0.10244669811638242,False,aac,76e0672ffce5857a789b41fb10606402f7da58c33579b1032a8282f86fb35bc9
-s9qJ7ATP7w__5,740690,740690,0.8221253156661987,0.08978213627117616,False,aac,bd35eb8de64ce1f8b27921294598f7cf5bb971255738f51d06458c7096c58eae
-s9qJ7ATP7w__6,204166,204166,0.9454987645149231,0.07490981424686324,False,aac,40b684fd1b4559f0f82e72f9b47f4ce7c5e15059fe8d0d8ab112637cd3386451
-s9qJ7ATP7w__7,603160,603160,0.9455198645591736,0.07420228142843635,False,aac,5301f4403cf7cd299cc525d2f443392ac70fd70c3c9cd4a09406f2ba4df6734d
-s9qJ7ATP7w__8,280848,280848,0.9480540752410889,0.0959328914604624,False,aac,1de4d91bd9d9fb508a3779658747da88460db0bdb1beefe7ea5b2c77edfd2239
-t217m2on-s__2,496582,496582,0.2931409180164337,0.0390465648983613,False,aac,6713a983112173204502dc5adbb886bc6c38554b4627698611931420c47663a8
-t217m2on-s__7,1501724,1501724,0.2880554497241974,0.02776792320711476,False,aac,41c76b8a733ecb780d56348f55d00f0ba0c07f44f46e93044e62d876710180b7
-tANM6ETl_M__3,582438,582438,0.5146771669387817,0.059540327289909295,False,aac,6d3af064c060dad3816a9e1dfa00101faebd8b7da7d8ceea85b0bc0fca70abd6
-tPCytz4rww__10,412670,412670,0.34469810128211975,0.04911361773683616,False,aac,758183192cbd5f0f20823d26ece3ddee40dec0aadec35247b2495510a53f52f8
-tPCytz4rww__11,474390,474390,0.5245031118392944,0.06629687357228455,False,aac,6dc09d02467baaef67594ff32cffb01f8ed1565cda4c5abd161b8261a51e2e5d
-tPCytz4rww__12,1035132,1035132,0.42478951811790466,0.048081793746418224,False,aac,e3c7f9cd67ad2d20fef997696dc278361f97f027db58762e22104e5720d509d5
-tPCytz4rww__16,629674,629674,0.49204882979393005,0.05867787412086535,False,aac,8b3f82f9628792eebaf8c227becc2ebeba59bb8abb668bcca86e07fb1a992a93
-tPCytz4rww__18,579368,579368,0.5159522294998169,0.05842600354191593,False,aac,eece70451e9c37a4b5f375bf646f66e09113fe3467f35bf1720cc14d986c1776
-uywlfIYOS8__4,518712,518712,0.2739483714103699,0.038321285291184254,False,aac,fde46f5222cf5cfec7af9c93214c972ce2d686b0bf9c90a291021601968986f9
-vxjVxOeScU__4,797068,797068,0.3848079741001129,0.05329073404707895,False,aac,00282df9a314394f19d616d561bd1916d1d30dca4c814dfb43630ca164f4c719
-wMB_hJL-3o__7,527046,527046,0.2693582773208618,0.030597942061406244,False,aac,04a73d73fd150b07edab8e652fd14c9cb4a0f6e017ea97b17e8146e377b9fae7
-wny0OAz3g8__0,288768,288768,0.8507862687110901,0.13531111722679787,False,aac,1cc21b4432e2f4b592284ee40558a18acc7d208019117aebdb2f6a1b67ea198d
-wny0OAz3g8__1,597692,597692,0.8501919507980347,0.12767074894595332,False,aac,c5535859f129ce04da5f5b5104d02d4168057b9d947a5349d423278ad4f3d8e8
-wny0OAz3g8__2,575302,575302,0.8931047916412354,0.12607675104238555,False,aac,1825fb37db2e914fb616cd80aebd613afd873eecb7edd4d0b53158bfda0e522a
-wny0OAz3g8__3,538008,538008,0.881627082824707,0.13102428948485884,False,aac,ea917c506bc9fa39460f2b722f7c416f646312bb17cd74baa618905b54837bce
-wny0OAz3g8__5,594592,594592,0.8600295186042786,0.12762632256873158,False,aac,6c6a8a4cba654b25190ab1793bfae81c3d2159ecd6cbc02d3fcbd598543acce0
-wny0OAz3g8__7,697706,697706,0.7654584646224976,0.12595166825034057,False,aac,cbf9cac1048ce191aef781d0c4563eb97f9f3ddd52eb1f9551fa78d31d70e7cd
-wny0OAz3g8__9,533036,533036,0.6257352828979492,0.10805238257839726,False,aac,b76f70fe783ee76bf1b637137226c98e67d13a6b15ec725894175b36cd76a136
-yRb-Jum7EQ__1,2567480,2567480,0.16645248234272003,0.011880418824013219,False,aac,2f16da1baa8660e5bfc608f5237cdd59725d16e57a19bc02c4556cd2c7129a46
-yRb-Jum7EQ__5,1150528,1150528,0.22333231568336487,0.018029859018994347,False,aac,6d6145293cf84d1fc8324dfa8d39465e2d7fc07affb67ff68deeabf6e3c410d9
-yRb-Jum7EQ__6,991592,991592,0.14851723611354828,0.01604718290344586,False,aac,b51eb9ad06de804934cb6a315de591ba9ff7f8aa71bffff7f8001ab29945d989
